Município,Código,Gentílico,Prefeito [2021],área Territorial - km2; [2021],População estimada - pessoas [2021],Densidade demográfica - hab/km2; [2010],Escolarização 6 a 14 anos - % [2010],IDHM índice de desenvolvimento humano municipal [2010],Mortalidade infantil - óbitos por mil nascidos vivos [2019],Receitas realizadas - R$ (x1000) [2017],Despesas empenhadas - R$ (x1000) [2017],PIB per capita - R$ [2019]
Abatiá,4100103,abatiense,NELSON GARCIA JUNIOR,228.717,7360,33.95,96.5,0.687,33.9,21302.4779,17805.68531,25316.37
Adrianópolis,4100202,adrianopolitano ou adrianopolense,VANDIR DE OLIVEIRA ROSA,1349.311,5797,4.73,95.8,0.667,-,27896.90718,26008.12705,36344.53
Agudos do Sul,4100301,agudense-do-sul ou agudense,LUCIANE MAIRA TEIXEIRA,192.261,9567,43.01,96.3,0.660,-,23790.02827,21427.99858,23289.03
Almirante Tamandaré,4100400,tamandareense,GERSON DENILSON COLODEL,194.888,121420,529.95,95.6,0.699,6.61,200858.73732,165618.13589,13747.91
Altamira do Paraná,4100459,altamirense,JOSE ETEVALDO DE OLIVEIRA,386.945,1429,11.13,97.5,0.667,-,21885.68263,18892.50535,38678.23
Altônia,4100509,altoniano,CLAUDENIR GERVASONE,661.560,22293,31.01,99.7,0.721,4.37,56894.27554,47629.1877,16874.84
Alto Paraná,4100608,alto-paranaense,CLAUDEMIR JOIA PEREIRA,407.719,14945,33.51,96,0.696,6.41,49050.42207,38262.57745,21709.38
Alto Piquiri,4100707,alto-piquirense,GIOVANE MENDES DE CARVALHO,447.666,9722,22.74,97.7,0.676,15.04,33578.9144,30480.36361,27493.12
Alvorada do Sul,4100806,alvoradense-do-sul,MARCOS ANTONIO VOLTARELLI,424.250,11598,24.24,97.4,0.708,17.54,38595.7058,32758.45843,21856.82
Amaporã,4100905,amaporense,MAURO LEMOS,384.735,6405,14.15,98.3,0.669,-,23652.63869,19791.33832,26673.33
Ampére,4101002,amperense,DISNEI LUQUINI,298.349,19466,58.01,99.3,0.709,10.49,53952.96976,47302.73743,31119.18
Anahy,4101051,anaiense,CARLOS ANTONIO REIS,102.895,2774,28.00,97.4,0.695,-,16524.26347,13907.21309,30793.20
Andirá,4101101,andiraense,IONE ELISABETH ALVES ABIB,235.944,19823,87.30,99.1,0.725,8.37,76575.51877,64662.02459,37736.32
&Acirc;ngulo,4101150,angulense,ROGÉRIO APARECIDO BERNARDO,106.021,2931,26.97,100,0.721,20.83,22532.87433,17528.14675,38255.86
Antonina,4101200,antoninense,JOSÉ PAULO VIEIRA AZIM,882.317,18919,21.41,97.6,0.687,-,54850.93103,50220.65781,29795.88
Antônio Olinto,4101309,antoniolintense,ALAN JAROS,469.620,7421,15.65,98.6,0.656,-,23695.77347,20198.7081,26108.84
Apucarana,4101408,apucaranense,SEBASTIAO FERREIRA MARTINS JUNIOR,558.389,137438,216.55,97.8,0.748,13.43,333503.24963,302077.09003,25602.65
Arapongas,4101507,araponguense,SERGIO ONOFRE DA SILVA,382.215,126545,272.49,97.3,0.748,14.58,311862.45872,282449.51696,40422.28
Arapoti,4101606,arapotiense,IRANI JOSE BARROS,1358.176,28480,19.00,97.7,0.723,11.17,95686.15669,76735.60762,43752.73
Arapuã,4101655,arapuense,DEODATO MATIAS,217.371,2951,16.34,97.1,0.676,-,17607.90099,15645.49382,31093.72
Araruna,4101705,ararunense,LEANDRO CESAR DE OLIVEIRA,493.191,14029,27.21,99.1,0.704,24.75,47109.10876,43286.37144,33735.86
Araucária,4101804,araucariano,HISSAM HUSSEIN DEHAINI,469.240,148522,253.86,97.4,0.740,9.73,1031236.18221,713669.69042,130033.87
Ariranha do Ivaí,4101853,ariranhense do ivaí,THIAGO EPIFANIO DA SILVA,239.562,2026,10.24,99.4,0.670,-,17929.99824,13204.38201,36895.36
Assaí,4101903,assaiense,MICHEL ANGELO BOMTEMPO,440.347,14792,37.14,98,0.728,7.09,47740.25987,39980.4735,29088.35
Assis Chateaubriand,4102000,assis-chateaubriense,VALTER APARECIDO SOUZA CORREIA,980.727,33306,34.06,98.6,0.729,12.58,110029.77719,93861.28847,35143.55
Astorga,4102109,astorgano,SUZIE APARECIDA PUCILLO ZANATTA,434.792,26304,56.80,97.4,0.747,14.33,81604.54154,69112.08505,28300.00
Atalaia,4102208,atalaiense,CARLOS EDUARDO ARMELIN MARIANI,137.663,3871,28.42,99.6,0.736,-,22112.7648,19697.19113,37269.70
Balsa Nova,4102307,balsa-novense,MARCOS ANTONIO ZANETTI,348.926,13238,32.39,87.4,0.696,5.88,53670.59253,45954.50726,58036.14
Bandeirantes,4102406,bandeirantense,JAELSON RAMALHO MATTA,445.192,31061,72.29,97.8,0.727,11.24,73915.03994,63634.5801,25807.42
Barbosa Ferraz,4102505,barbosense,EDENILSON APARECIDO MILIOSSI,538.636,11287,23.50,98.2,0.696,-,36116.20339,31640.69078,18328.98
Barracão,4102604,barraconense,JORGE LUIZ SANTIN,171.402,10347,56.78,95.3,0.706,-,39271.02329,33672.37782,25651.92
Barra do Jacaré,4102703,barrense,EDIMAR DE FREITAS ALBONETI,115.855,2781,23.56,98.7,0.744,-,16904.05899,13728.96018,29236.20
Bela Vista da Caroba,4102752,bela-vistense,GELSON MAFFI,148.107,3404,26.64,99.5,0.681,-,16979.21179,13878.83643,19710.62
Bela Vista do Paraíso,4102802,bela-vistense,FABRICIO PASTORE,242.689,15400,62.13,97.3,0.716,10.47,44196.64293,36909.66925,30194.30
Bituruna,4102901,biturenense,RODRIGO ROSSONI,1228.285,16411,13.07,98.2,0.667,10.71,54066.00709,47507.87074,22011.72
Boa Esperança,4103008,boa-esperansense,JOEL CELSO BUSCARIOL,302.739,3991,14.86,99,0.720,-,23815.23761,20710.11438,49048.95
Boa Esperança do Iguaçu,4103024,boaesperencense,GIVANILDO TRUMI,151.797,2437,18.21,98.3,0.700,-,18090.96703,15984.69558,35254.00
Boa Ventura de São Roque,4103040,boa venturense,EDSON FLáVIO HOFFMANN,620.453,6343,10.53,97.5,0.655,43.96,31809.68918,23937.45271,34098.44
Boa Vista da Aparecida,4103057,boa-vistense,LEONIR ANTUNES DOS SANTOS,266.173,7524,30.87,99.2,0.670,-,29754.88719,29694.59198,18559.39
Bocai&uacute;va do Sul,4103107,bocaiuvense,ANTONIO LUIZ GUSSO,826.344,13308,13.30,95.1,0.640,-,33981.14629,27294.50966,15514.08
Bom Jesus do Sul,4103156,bonjesuense,HELIO JOSE SURDI,173.817,3472,21.82,99.4,0.697,-,19948.46221,17631.48328,19826.98
Bom Sucesso,4103206,bom-sucessense,RAIMUNDO SEVERIANO DE ALMEIDA JUNIOR,322.755,7103,20.33,95.5,0.686,-,27358.73939,24688.72162,16930.59
Bom Sucesso do Sul,4103222,bomsucessense do sul,NILSON ANTONIO FEVERSANI,195.931,3244,16.81,98.3,0.742,-,22286.35576,18117.63482,54468.90
Borrazópolis,4103305,borrazopolitano,DALTON FERNANDES MOREIRA,334.378,6290,23.56,99,0.717,-,23979.11338,19373.08251,30031.47
Braganey,4103354,braganense,ODAIR GUERREIRO OLIVEIRA,343.321,5338,16.70,98,0.701,12.5,23080.73628,17629.07055,32591.03
Brasil&acirc;ndia do Sul,4103370,brasilandiense,ALEX ANTONIO CAVALCANTE,291.036,2521,11.03,97.8,0.681,18.87,23381.87059,21465.422,62846.02
Cafeara,4103404,cafearense,ELTON FABIO LAZARETTI,185.800,2973,14.50,99.5,0.693,-,16859.40046,14641.14835,22180.82
Cafel&acirc;ndia,4103453,cafelandense,CULESTINO KIARA,271.724,18783,53.96,98,0.748,17.75,74075.55686,60227.67424,75275.81
Cafezal do Sul,4103479,cafezalense,MARIO JUNIO KAZUO DA SILVA,335.392,3975,12.79,98.4,0.692,-,19863.67722,19078.61298,21703.28
Califórnia,4103503,californiano,PAULO WILSON MENDES,141.817,8641,56.90,97.2,0.722,16.53,27659.24936,21097.54658,18223.65
Cambará,4103602,cambaraense,JOSÉ SALIM HAGGI NETO,366.153,25569,65.23,97.3,0.721,6.62,75318.25344,55466.07134,30069.64
Cambé,4103701,cambeense,CONRADO &Acirc;NGELO SCHELLER,495.375,108126,195.47,97.5,0.734,11.19,285940.19392,248791.5082,38644.48
Cambira,4103800,cambirense,EMERSON TOLEDO PIRES,163.388,7967,44.29,97.5,0.725,-,26273.58534,21131.9679,26060.52
Campina da Lagoa,4103909,campinense-da-lagoa,MILTON LUIZ ALVES,796.614,13888,19.32,97.3,0.704,4.57,48287.58412,40522.95684,29100.62
Campina do Simão,4103958,campineiro do simão,ANDRÉ JUNIOR DE PAULA,448.424,3831,9.09,98.4,0.630,14.49,22366.71652,20245.09941,26086.44
Campina Grande do Sul,4104006,campinense-do-sul,BIHL ELERIAN ZANETTI,539.245,44072,71.90,98,0.718,13.53,146811.35667,115275.2415,36457.57
Campo Bonito,4104055,campo-bonitense,MARIO WEBER,433.832,3694,10.16,97.4,0.681,-,24283.5252,19430.62493,34941.05
Campo do Tenente,4104105,tenentiano,WEVERTON WILLIAN VIZENTIN,304.488,8118,23.40,98.7,0.686,8.26,24380.72221,22983.35229,25310.07
Campo Largo,4104204,campo-larguense,MAURíCIO ROBERTO RIVABEM,1243.551,135678,89.93,97.7,0.745,10.87,334617.81068,263348.38055,35770.78
Campo Magro,4104253,campomagrense,CLAUDIO CESAR CASAGRANDE,275.352,30151,90.22,96.1,0.701,7.43,70517.06947,66764.12173,14833.09
Campo Mourão,4104303,campo-mourense,TAUILLO TEZELLI,749.637,96102,115.05,98.2,0.757,12.92,325876.0211,263940.0456,40804.93
C&acirc;ndido de Abreu,4104402,c&acirc;ndido-abreuense,RENAN MENCK ROMANICHEN,1510.160,14606,11.03,98.1,0.629,10.26,44514.10934,39540.31021,21646.30
Candói,4104428,candoianos,ALDOINO GOLDONI FILHO,1512.786,16126,9.90,93.8,0.635,21.37,62024.48056,45619.27801,30816.84
Cantagalo,4104451,cantagalense,JOãO KONJUNSKI,583.304,13340,22.20,96,0.635,6.1,37515.04895,33100.62622,19102.32
Capanema,4104501,capanemense,AMERICO BELLE,419.036,19172,44.25,98.2,0.706,8,63634.53021,52869.59706,30783.11
