Município,2020 Semana 21,2020 Semana 28,2021 Semana 2,2021 Semana 3,2021 Semana 4,2021 Semana 5,2021 Semana 6,2021 Semana 7,2021 Semana 8,2021 Semana 9,2021 Semana 10,2021 Semana 11,2021 Semana 12,2021 Semana 13,2021 Semana 14,2021 Semana 15,2021 Semana 16,2021 Semana 17,2021 Semana 18,2021 Semana 19,2021 Semana 20
Abatiá,0.0,,,186.0,231.0,243.0,247.0,262.0,271.0,283.0,288.0,314.0,354.0,381.0,428.0,474.0,502.0,518.0,594.0,691.0,765.0
Adrianópolis,0.0,,,561.0,569.0,582.0,588.0,678.0,770.0,862.0,908.0,935.0,995.0,1019.0,1029.0,1041.0,1053.0,1056.0,1085.0,1100.0,1141.0
Agudos do Sul,0.0,,,246.0,257.0,257.0,267.0,268.0,282.0,306.0,327.0,385.0,408.0,409.0,423.0,435.0,438.0,471.0,477.0,486.0,490.0
Almirante Tamandaré,0.0,,,4305.0,4486.0,4572.0,4708.0,4748.0,5061.0,5593.0,6027.0,6438.0,6898.0,7126.0,7281.0,7514.0,7644.0,7790.0,7907.0,8129.0,8366.0
Altamira do Paraná,0.0,,,26.0,30.0,40.0,43.0,48.0,62.0,66.0,68.0,71.0,97.0,97.0,97.0,101.0,102.0,102.0,148.0,159.0,182.0
Alto Paraná,0.0,,,335.0,382.0,392.0,405.0,433.0,434.0,494.0,524.0,575.0,581.0,593.0,634.0,640.0,661.0,695.0,735.0,778.0,821.0
Alto Paraíso,0.0,,,49.0,55.0,58.0,62.0,70.0,76.0,103.0,114.0,121.0,129.0,147.0,152.0,153.0,153.0,154.0,158.0,159.0,174.0
Alto Piquiri,0.0,,,281.0,295.0,310.0,321.0,330.0,339.0,353.0,363.0,400.0,417.0,427.0,436.0,458.0,467.0,467.0,555.0,587.0,658.0
Altônia,0.0,,,461.0,494.0,510.0,596.0,634.0,681.0,722.0,782.0,795.0,805.0,809.0,812.0,818.0,843.0,846.0,860.0,892.0,932.0
Alvorada do Sul,0.0,,,270.0,296.0,301.0,317.0,319.0,356.0,409.0,444.0,456.0,590.0,609.0,621.0,624.0,628.0,629.0,632.0,648.0,681.0
Amaporã,0.0,,,66.0,66.0,70.0,76.0,,100.0,108.0,116.0,134.0,152.0,167.0,177.0,203.0,226.0,227.0,238.0,262.0,273.0
Ampére,0.0,,,443.0,504.0,529.0,551.0,551.0,632.0,691.0,726.0,778.0,830.0,838.0,847.0,876.0,911.0,962.0,1018.0,1083.0,1223.0
Anahy,0.0,,,75.0,79.0,79.0,80.0,81.0,98.0,110.0,145.0,180.0,217.0,222.0,226.0,239.0,256.0,265.0,317.0,325.0,327.0
Andirá,0.0,,,729.0,852.0,901.0,959.0,993.0,1092.0,1127.0,1155.0,1216.0,1284.0,1306.0,1319.0,1375.0,1448.0,1479.0,1537.0,1655.0,1738.0
Antonina,0.0,,,1382.0,1416.0,1450.0,1467.0,1470.0,1528.0,1560.0,1600.0,1665.0,1712.0,1772.0,1830.0,1972.0,2040.0,2080.0,2135.0,2175.0,2199.0
