Município,2020 Semana 21,2020 Semana 28,2021 Semana 2,2021 Semana 3,2021 Semana 4,2021 Semana 5,2021 Semana 6,2021 Semana 7,2021 Semana 8,2021 Semana 9,2021 Semana 10,2021 Semana 11,2021 Semana 12,2021 Semana 13,2021 Semana 14,2021 Semana 15,2021 Semana 16,2021 Semana 17,2021 Semana 18,2021 Semana 19,2021 Semana 20
Abatiá,0.0,,,1.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,4.0,6.0,6.0,6.0,7.0,8.0,9.0,9.0,10.0,10.0
Adrianópolis,0.0,,,9.0,9.0,9.0,9.0,9.0,10.0,12.0,15.0,16.0,20.0,22.0,20.0,21.0,21.0,21.0,21.0,21.0,22.0
Agudos do Sul,0.0,,,1.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,5.0,5.0,6.0,14.0,14.0,16.0,17.0,19.0,19.0
Almirante Tamandaré,0.0,,,103.0,115.0,122.0,127.0,128.0,131.0,146.0,165.0,201.0,221.0,231.0,257.0,266.0,276.0,287.0,299.0,310.0,323.0
Altamira do Paraná,0.0,,,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,3.0,3.0,3.0,4.0,4.0,6.0
Alto Paraná,0.0,,,2.0,3.0,4.0,4.0,5.0,5.0,6.0,8.0,11.0,12.0,14.0,14.0,14.0,15.0,17.0,17.0,18.0,18.0
Alto Paraíso,0.0,,,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,3.0
Alto Piquiri,0.0,,,5.0,6.0,6.0,6.0,7.0,7.0,8.0,9.0,10.0,10.0,11.0,11.0,11.0,12.0,12.0,15.0,16.0,18.0
Altônia,0.0,,,5.0,5.0,5.0,5.0,5.0,5.0,11.0,11.0,13.0,13.0,13.0,14.0,14.0,14.0,14.0,14.0,17.0,18.0
Alvorada do Sul,0.0,,,7.0,8.0,8.0,8.0,8.0,8.0,8.0,10.0,10.0,12.0,13.0,14.0,16.0,18.0,20.0,21.0,21.0,21.0
Amaporã,0.0,,,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,2.0,5.0,5.0,5.0
Ampére,0.0,,,9.0,11.0,12.0,12.0,12.0,14.0,16.0,17.0,19.0,20.0,21.0,22.0,26.0,27.0,28.0,28.0,27.0,27.0
Anahy,0.0,,,1.0,2.0,2.0,2.0,3.0,3.0,3.0,3.0,3.0,4.0,4.0,4.0,4.0,5.0,5.0,6.0,6.0,8.0
Andirá,0.0,,,7.0,8.0,10.0,13.0,16.0,23.0,28.0,31.0,38.0,43.0,44.0,44.0,49.0,52.0,52.0,56.0,60.0,64.0
Antonina,0.0,,,34.0,34.0,36.0,37.0,38.0,38.0,39.0,41.0,44.0,43.0,43.0,48.0,50.0,50.0,50.0,55.0,56.0,56.0
Antônio Olinto,0.0,,,1.0,1.0,1.0,1.0,1.0,1.0,1.0,2.0,2.0,2.0,5.0,6.0,6.0,6.0,8.0,8.0,8.0,8.0
