date,code,vaccinated,state,name,cases,deaths
2021-01-11,410380.0,1,PR,Cambira,277.0,6
2021-01-11,411210.0,1,PR,Jandaia do Sul,962.0,17
2021-01-15,410940.0,1,PR,Guarapuava,6184.0,67
2021-01-17,410425.0,1,PR,Campo Magro,1395.0,35
2021-01-17,410725.0,1,PR,Douradina,223.0,1
2021-01-17,411125.0,1,PR,Itaperuçu,1641.0,33
2021-01-18,410480.0,1,PR,Cascavel,19578.0,250
2021-01-18,410580.0,1,PR,Colombo,7761.0,289
2021-01-18,410690.0,4,PR,Curitiba,76304.0,2078
2021-01-18,411560.0,1,PR,Matelândia,1282.0,15
2021-01-18,411670.0,2,PR,Nova Aurora,579.0,9
2021-01-18,411970.0,2,PR,Planaltina do Paraná,135.0,2
2021-01-18,412220.0,1,PR,Rio Branco do Sul,2216.0,52
2021-01-19,410020.0,3,PR,Adrianópolis,543.0,9
2021-01-19,410040.0,3,PR,Almirante Tamandaré,4221.0,103
2021-01-19,410110.0,1,PR,Andirá,701.0,5
2021-01-19,410120.0,25,PR,Antonina,1376.0,34
2021-01-19,410150.0,4,PR,Arapongas,5675.0,169
2021-01-19,410170.0,9,PR,Araruna,550.0,11
2021-01-19,410190.0,8,PR,Assaí,486.0,15
2021-01-19,410210.0,70,PR,Astorga,1134.0,19
2021-01-19,410220.0,13,PR,Atalaia,143.0,3
2021-01-19,410304.0,16,PR,Boa Ventura de São Roque,134.0,2
2021-01-19,410320.0,32,PR,Bom Sucesso,217.0,3
2021-01-19,410322.0,3,PR,Bom Sucesso do Sul,123.0,2
2021-01-19,410330.0,8,PR,Borrazópolis,347.0,8
2021-01-19,410360.0,9,PR,Cambará,634.0,9
2021-01-19,410370.0,40,PR,Cambé,5328.0,63
2021-01-19,410390.0,2,PR,Campina da Lagoa,259.0,7
2021-01-19,410420.0,2,PR,Campo Largo,7898.0,144
2021-01-19,410430.0,13,PR,Campo Mourão,4233.0,58
2021-01-19,410450.0,6,PR,Capanema,1012.0,5
2021-01-19,410480.0,6,PR,Cascavel,19880.0,251
2021-01-19,410490.0,78,PR,Castro,4031.0,51
2021-01-19,410510.0,3,PR,Centenário do Sul,319.0,6
2021-01-19,410550.0,80,PR,Cianorte,3540.0,41
2021-01-19,410610.0,1,PR,Conselheiro Mairinck,148.0,1
2021-01-19,410620.0,8,PR,Contenda,785.0,7
2021-01-19,410640.0,9,PR,Cornélio Procópio,1857.0,33
2021-01-19,410645.0,2,PR,Coronel Domingos Soares,412.0,0
2021-01-19,410650.0,5,PR,Coronel Vivida,1057.0,8
2021-01-19,410660.0,11,PR,Cruzeiro do Oeste,1196.0,16
2021-01-19,410690.0,28,PR,Curitiba,76394.0,2094
2021-01-19,410700.0,5,PR,Curiúva,395.0,8
2021-01-19,410720.0,1,PR,Dois Vizinhos,3777.0,35
2021-01-19,410750.0,4,PR,Engenheiro Beltrão,480.0,6
2021-01-19,410752.0,3,PR,Esperança Nova,158.0,2
2021-01-19,410765.0,3,PR,Fazenda Rio Grande,5505.0,129
2021-01-19,410770.0,3,PR,Fênix,177.0,1
2021-01-19,410773.0,1,PR,Fernandes Pinheiro,205.0,2
2021-01-19,410780.0,23,PR,Floraí,189.0,3
2021-01-19,410790.0,9,PR,Floresta,397.0,6
2021-01-19,410800.0,54,PR,Florestópolis,462.0,9
2021-01-19,410840.0,55,PR,Francisco Beltrão,5631.0,59
2021-01-19,410865.0,4,PR,Goioxim,197.0,1
2021-01-19,410940.0,4,PR,Guarapuava,6410.0,71
2021-01-19,410950.0,1,PR,Guaraqueçaba,190.0,4
2021-01-19,410960.0,40,PR,Guaratuba,1923.0,40
2021-01-19,410970.0,12,PR,Ibaiti,839.0,24
2021-01-19,410980.0,3,PR,Ibiporã,2507.0,27
2021-01-19,411000.0,1,PR,Iguaraçu,114.0,2
2021-01-19,411050.0,4,PR,Ipiranga,248.0,5
2021-01-19,411080.0,2,PR,Iretama,227.0,4
2021-01-19,411110.0,2,PR,Itambé,404.0,16
2021-01-19,411120.0,3,PR,Itapejara d'Oeste,571.0,9
2021-01-19,411125.0,44,PR,Itaperuçu,1643.0,33
2021-01-19,411140.0,1,PR,Ivaí,294.0,6
2021-01-19,411150.0,4,PR,Ivaiporã,1237.0,27
2021-01-19,411180.0,30,PR,Jacarezinho,1726.0,18
2021-01-19,411230.0,24,PR,Japira,168.0,1
2021-01-19,411240.0,38,PR,Japurá,324.0,2
2021-01-19,411270.0,16,PR,Jataizinho,823.0,15
2021-01-19,411300.0,6,PR,Jussara,272.0,4
2021-01-19,411310.0,1,PR,Kaloré,336.0,4
2021-01-19,411320.0,1,PR,Lapa,2020.0,22
2021-01-19,411340.0,15,PR,Leópolis,203.0,3
2021-01-19,411342.0,2,PR,Lidianópolis,92.0,2
2021-01-19,411370.0,56,PR,Londrina,31491.0,464
2021-01-19,411373.0,3,PR,Luiziana,127.0,2
2021-01-19,411380.0,3,PR,Lupionópolis,104.0,0
2021-01-19,411410.0,1,PR,Mandaguaçu,1278.0,9
2021-01-19,411420.0,2,PR,Mandaguari,1239.0,20
2021-01-19,411430.0,17,PR,Mandirituba,1234.0,17
2021-01-19,411450.0,1,PR,Manoel Ribas,488.0,10
2021-01-19,411480.0,23,PR,Marialva,1776.0,26
2021-01-19,411510.0,1,PR,Mariluz,421.0,13
2021-01-19,411520.0,25,PR,Maringá,26299.0,371
2021-01-19,411540.0,5,PR,Marmeleiro,791.0,11
2021-01-19,411550.0,46,PR,Marumbi,177.0,2
2021-01-19,411570.0,5,PR,Matinhos,1156.0,26
2021-01-19,411575.0,1,PR,Mauá da Serra,381.0,6
2021-01-19,411580.0,4,PR,Medianeira,3450.0,34
2021-01-19,411630.0,28,PR,Munhoz de Melo,113.0,1
2021-01-19,411670.0,1,PR,Nova Aurora,591.0,10
2021-01-19,411680.0,44,PR,Nova Cantu,138.0,2
2021-01-19,411710.0,1,PR,Nova Londrina,389.0,1
2021-01-19,411730.0,67,PR,Ortigueira,914.0,14
2021-01-19,411740.0,20,PR,Ourizona,80.0,1
2021-01-19,411750.0,6,PR,Paiçandu,1742.0,31
2021-01-19,411810.0,6,PR,Paranacity,136.0,1
2021-01-19,411820.0,28,PR,Paranaguá,10076.0,151
2021-01-19,411860.0,6,PR,Paula Freitas,104.0,3
2021-01-19,411880.0,1,PR,Peabiru,490.0,11
2021-01-19,411915.0,2,PR,Pinhais,7839.0,171
2021-01-19,411940.0,8,PR,Piraí do Sul,779.0,15
2021-01-19,411965.0,11,PR,Pitangueiras,123.0,2
2021-01-19,411990.0,19,PR,Ponta Grossa,15060.0,240
2021-01-19,411995.0,45,PR,Pontal do Paraná,1180.0,27
2021-01-19,412040.0,16,PR,Presidente Castelo Branco,208.0,2
2021-01-19,412060.0,1,PR,Prudentópolis,647.0,11
2021-01-19,412110.0,43,PR,Quinta do Sol,233.0,6
2021-01-19,412130.0,27,PR,Rancho Alegre,147.0,3
2021-01-19,412160.0,2,PR,Renascença,260.0,4
2021-01-19,412170.0,1,PR,Reserva,533.0,9
2021-01-19,412175.0,1,PR,Reserva do Iguaçu,168.0,1
2021-01-19,412220.0,5,PR,Rio Branco do Sul,2237.0,53
2021-01-19,412240.0,2,PR,Rolândia,3073.0,80
2021-01-19,412250.0,45,PR,Roncador,187.0,2
2021-01-19,412300.0,7,PR,Salto do Lontra,632.0,10
2021-01-19,412320.0,2,PR,Santa Cecília do Pavão,123.0,4
2021-01-19,412390.0,12,PR,Santa Mariana,435.0,21
2021-01-19,412410.0,7,PR,Santo Antônio da Platina,1105.0,21
2021-01-19,412450.0,10,PR,Santo Inácio,236.0,3
2021-01-19,412470.0,2,PR,São Jerônimo da Serra,139.0,4
2021-01-19,412480.0,2,PR,São João,572.0,5
2021-01-19,412520.0,4,PR,São Jorge d'Oeste,475.0,6
2021-01-19,412530.0,24,PR,São Jorge do Ivaí,298.0,3
2021-01-19,412535.0,16,PR,São Jorge do Patrocínio,149.0,0
2021-01-19,412555.0,13,PR,São Manoel do Paraná,53.0,1
2021-01-19,412560.0,7,PR,São Mateus do Sul,944.0,16
2021-01-19,412600.0,18,PR,São Sebastião da Amoreira,279.0,12
2021-01-19,412610.0,6,PR,São Tomé,226.0,1
2021-01-19,412620.0,1,PR,Sapopema,144.0,4
2021-01-19,412640.0,4,PR,Sertaneja,228.0,5
2021-01-19,412660.0,1,PR,Siqueira Campos,449.0,13
2021-01-19,412680.0,3,PR,Tapejara,433.0,8
2021-01-19,412710.0,58,PR,Telêmaco Borba,6025.0,93
2021-01-19,412720.0,9,PR,Terra Boa,663.0,9
2021-01-19,412750.0,42,PR,Tibagi,657.0,17
2021-01-19,412780.0,3,PR,Tomazina,121.0,1
2021-01-19,412790.0,7,PR,Tuneiras do Oeste,287.0,5
2021-01-19,412810.0,2,PR,Umuarama,6708.0,73
2021-01-19,412830.0,8,PR,Uniflor,32.0,2
2021-01-19,412840.0,3,PR,Uraí,321.0,5
2021-01-19,412850.0,25,PR,Wenceslau Braz,511.0,10
2021-01-19,412853.0,4,PR,Ventania,352.0,14
2021-01-19,412880.0,11,PR,Xambrê,157.0,2
2021-01-20,410010.0,34,PR,Abatiá,201.0,1
2021-01-20,410020.0,33,PR,Adrianópolis,552.0,9
2021-01-20,410030.0,17,PR,Agudos do Sul,250.0,1
2021-01-20,410040.0,43,PR,Almirante Tamandaré,4250.0,103
2021-01-20,410045.0,29,PR,Altamira do Paraná,26.0,2
2021-01-20,410050.0,23,PR,Altônia,450.0,5
2021-01-20,410060.0,33,PR,Alto Paraná,324.0,2
2021-01-20,410070.0,51,PR,Alto Piquiri,265.0,5
2021-01-20,410080.0,46,PR,Alvorada do Sul,258.0,7
2021-01-20,410090.0,28,PR,Amaporã,66.0,0
2021-01-20,410100.0,24,PR,Ampére,453.0,9
2021-01-20,410105.0,27,PR,Anahy,75.0,1
2021-01-20,410110.0,35,PR,Andirá,709.0,6
2021-01-20,410115.0,25,PR,Ângulo,124.0,2
2021-01-20,410120.0,64,PR,Antonina,1379.0,34
2021-01-20,410130.0,9,PR,Antônio Olinto,137.0,1
2021-01-20,410140.0,377,PR,Apucarana,2889.0,106
2021-01-20,410150.0,370,PR,Arapongas,5737.0,169
2021-01-20,410160.0,66,PR,Arapoti,1015.0,5
2021-01-20,410165.0,12,PR,Arapuã,103.0,2
2021-01-20,410170.0,50,PR,Araruna,551.0,11
2021-01-20,410180.0,63,PR,Araucária,11467.0,140
2021-01-20,410185.0,13,PR,Ariranha do Ivaí,43.0,1
2021-01-20,410190.0,44,PR,Assaí,493.0,16
2021-01-20,410200.0,122,PR,Assis Chateaubriand,1601.0,22
2021-01-20,410210.0,24,PR,Astorga,1138.0,19
2021-01-20,410220.0,11,PR,Atalaia,143.0,3
2021-01-20,410230.0,47,PR,Balsa Nova,558.0,11
2021-01-20,410240.0,165,PR,Bandeirantes,1626.0,42
2021-01-20,410250.0,27,PR,Barbosa Ferraz,378.0,5
2021-01-20,410260.0,22,PR,Barracão,374.0,7
2021-01-20,410270.0,5,PR,Barra do Jacaré,77.0,0
2021-01-20,410275.0,20,PR,Bela Vista da Caroba,67.0,1
2021-01-20,410280.0,15,PR,Bela Vista do Paraíso,492.0,8
2021-01-20,410290.0,2,PR,Bituruna,145.0,1
2021-01-20,410300.0,26,PR,Boa Esperança,119.0,2
2021-01-20,410302.0,10,PR,Boa Esperança do Iguaçu,93.0,0
2021-01-20,410304.0,12,PR,Boa Ventura de São Roque,134.0,2
2021-01-20,410305.0,30,PR,Boa Vista da Aparecida,323.0,9
2021-01-20,410310.0,6,PR,Bocaiúva do Sul,630.0,3
2021-01-20,410315.0,20,PR,Bom Jesus do Sul,110.0,2
2021-01-20,410320.0,15,PR,Bom Sucesso,217.0,3
2021-01-20,410322.0,12,PR,Bom Sucesso do Sul,123.0,2
2021-01-20,410330.0,21,PR,Borrazópolis,347.0,8
2021-01-20,410335.0,24,PR,Braganey,118.0,2
