,cases,cases,cases,cases,cases,cases,cases,cases,cases,cases,cases,cases,cases,cases,cases,cases,cases,cases,cases,cases,cases
year,2020,2020,2021,2021,2021,2021,2021,2021,2021,2021,2021,2021,2021,2021,2021,2021,2021,2021,2021,2021,2021
week,21,28,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20
name,,,,,,,,,,,,,,,,,,,,,
Abatiá,0.0,0.0,0.0,798.0,1109.0,955.0,1498.0,778.0,537.0,1120.0,1442.0,1199.0,1997.0,1860.0,1641.0,2275.0,3000.0,2165.0,3071.0,2765.0,3017.0
Adrianópolis,0.0,0.0,0.0,2772.0,3393.0,2307.0,2436.0,1310.0,2938.0,4913.0,3551.0,3775.0,6884.0,6097.0,6162.0,6214.0,5236.0,6341.0,6438.0,6562.0,6766.0
Agudos do Sul,0.0,0.0,0.0,996.0,1270.0,776.0,1330.0,1340.0,557.0,1519.0,2070.0,2325.0,2819.0,2041.0,2104.0,2561.0,2645.0,2725.0,2846.0,2884.0,2444.0
Almirante Tamandaré,0.0,0.0,0.0,25644.0,30939.0,31692.0,27724.0,23678.0,24845.0,32283.0,35183.0,37386.0,46992.0,42015.0,50520.0,51974.0,53147.0,54087.0,47015.0,48063.0,57960.0
Altamira do Paraná,0.0,0.0,0.0,78.0,144.0,112.0,128.0,95.0,62.0,260.0,270.0,212.0,592.0,388.0,97.0,498.0,406.0,629.0,797.0,778.0,859.0
Alto Paraná,0.0,0.0,0.0,1322.0,2176.0,2360.0,2060.0,1710.0,896.0,1912.0,3134.0,2252.0,4076.0,1181.0,3754.0,3849.0,4580.0,4071.0,3562.0,3788.0,5636.0
Alto Paraíso,0.0,0.0,0.0,249.0,276.0,174.0,124.0,284.0,76.0,370.0,439.0,241.0,901.0,278.0,456.0,913.0,459.0,922.0,780.0,950.0,1002.0
Alto Piquiri,0.0,0.0,0.0,824.0,1741.0,914.0,967.0,659.0,1014.0,2075.0,2189.0,1943.0,2879.0,1688.0,1327.0,2733.0,2317.0,2929.0,2134.0,3487.0,3167.0
Altônia,0.0,0.0,0.0,2269.0,2865.0,2065.0,2886.0,1878.0,2670.0,3571.0,4609.0,4729.0,5615.0,4851.0,4879.0,4947.0,5861.0,5082.0,5133.0,6151.0,5442.0
Alvorada do Sul,0.0,0.0,0.0,1063.0,1709.0,912.0,1262.0,987.0,718.0,2343.0,2579.0,2443.0,4022.0,3596.0,4314.0,3738.0,3763.0,4404.0,3784.0,3843.0,4015.0
