code,state,name,cases,deaths,vaccinated
410010.0,PR,Abatiá,691.0,10,14288
410020.0,PR,Adrianópolis,1053.0,21,13590
410030.0,PR,Agudos do Sul,438.0,14,20492
410040.0,PR,Almirante Tamandaré,8366.0,323,165265
410045.0,PR,Altamira do Paraná,102.0,3,7772
410050.0,PR,Altônia,818.0,14,36867
410060.0,PR,Alto Paraná,661.0,15,22711
410070.0,PR,Alto Piquiri,427.0,11,16488
410080.0,PR,Alvorada do Sul,319.0,8,19112
410090.0,PR,Amaporã,167.0,0,10531
410100.0,PR,Ampére,1223.0,27,36243
410105.0,PR,Anahy,317.0,6,7183
410110.0,PR,Andirá,1479.0,52,35588
410115.0,PR,Ângulo,282.0,6,6824
410120.0,PR,Antonina,2080.0,50,40716
410130.0,PR,Antônio Olinto,280.0,6,14999
410140.0,PR,Apucarana,3864.0,131,243683
410150.0,PR,Arapongas,7296.0,213,218812
410160.0,PR,Arapoti,2235.0,38,50570
410165.0,PR,Arapuã,177.0,5,7751
410170.0,PR,Araruna,992.0,19,26004
410180.0,PR,Araucária,21101.0,324,305760
410185.0,PR,Ariranha do Ivaí,114.0,2,5719
410190.0,PR,Assaí,996.0,27,27129
410200.0,PR,Assis Chateaubriand,1577.0,22,63486
410210.0,PR,Astorga,2272.0,48,53715
410220.0,PR,Atalaia,324.0,15,9714
410230.0,PR,Balsa Nova,1140.0,23,35075
410240.0,PR,Bandeirantes,3117.0,93,63639
410250.0,PR,Barbosa Ferraz,506.0,6,18454
410260.0,PR,Barracão,967.0,24,16076
410270.0,PR,Barra do Jacaré,132.0,1,5864
410275.0,PR,Bela Vista da Caroba,159.0,5,8141
410280.0,PR,Bela Vista do Paraíso,1664.0,58,29074
410290.0,PR,Bituruna,483.0,6,33575
410300.0,PR,Boa Esperança,244.0,7,8946
410302.0,PR,Boa Esperança do Iguaçu,143.0,0,4149
410304.0,PR,Boa Ventura de São Roque,339.0,5,10740
410305.0,PR,Boa Vista da Aparecida,653.0,18,15831
410310.0,PR,Bocaiúva do Sul,953.0,8,20526
410315.0,PR,Bom Jesus do Sul,331.0,3,7187
410320.0,PR,Bom Sucesso,442.0,9,14306
410322.0,PR,Bom Sucesso do Sul,353.0,6,6949
410330.0,PR,Borrazópolis,469.0,13,15871
410335.0,PR,Braganey,317.0,7,8901
410337.0,PR,Brasilândia do Sul,348.0,8,7322
410340.0,PR,Cafeara,224.0,9,6076
410345.0,PR,Cafelândia,1264.0,9,38166
410347.0,PR,Cafezal do Sul,185.0,2,8816
410350.0,PR,Califórnia,740.0,14,17997
410360.0,PR,Cambará,1811.0,36,46608
410370.0,PR,Cambé,7593.0,115,193139
410380.0,PR,Cambira,568.0,13,14601
410390.0,PR,Campina da Lagoa,898.0,20,29676
410395.0,PR,Campina do Simão,166.0,6,9563
410400.0,PR,Campina Grande do Sul,3918.0,68,76432
410405.0,PR,Campo Bonito,234.0,6,7393
410410.0,PR,Campo do Tenente,332.0,9,16567
410420.0,PR,Campo Largo,14268.0,322,213443
410425.0,PR,Campo Magro,2675.0,64,50052
410430.0,PR,Campo Mourão,4153.0,58,204936
410440.0,PR,Cândido de Abreu,687.0,7,26994
410442.0,PR,Candói,981.0,24,27524
410445.0,PR,Cantagalo,805.0,6,17309
410450.0,PR,Capanema,1760.0,21,34771
410460.0,PR,Capitão Leônidas Marques,1042.0,18,23105
410465.0,PR,Carambeí,2494.0,46,33319
410470.0,PR,Carlópolis,557.0,22,28186
410480.0,PR,Cascavel,28554.0,494,634866
410490.0,PR,Castro,9129.0,170,147570
410500.0,PR,Catanduvas,763.0,18,13765
410510.0,PR,Centenário do Sul,769.0,26,20666
410520.0,PR,Cerro Azul,1076.0,36,33640
410530.0,PR,Céu Azul,825.0,15,23557
410540.0,PR,Chopinzinho,1953.0,35,42120
410550.0,PR,Cianorte,4859.0,62,165779
410560.0,PR,Cidade Gaúcha,847.0,3,23389
410570.0,PR,Clevelândia,1608.0,71,25598
410580.0,PR,Colombo,14993.0,432,483783
410590.0,PR,Colorado,1698.0,36,47787
410600.0,PR,Congonhinhas,513.0,14,16546
410610.0,PR,Conselheiro Mairinck,515.0,8,7587
410620.0,PR,Contenda,1713.0,32,38239
410630.0,PR,Corbélia,1263.0,26,30994
410640.0,PR,Cornélio Procópio,3478.0,65,89634
410645.0,PR,Coronel Domingos Soares,1086.0,13,14143
410650.0,PR,Coronel Vivida,2514.0,62,49524
410655.0,PR,Corumbataí do Sul,233.0,6,7179
410657.0,PR,Cruzeiro do Iguaçu,272.0,7,9301
410660.0,PR,Cruzeiro do Oeste,1680.0,41,40023
410670.0,PR,Cruzeiro do Sul,271.0,11,8391
410680.0,PR,Cruz Machado,627.0,13,31208
410685.0,PR,Cruzmaltina,137.0,4,7263
410690.0,PR,Curitiba,156050.0,5033,3632292
410700.0,PR,Curiúva,1016.0,16,25082
410710.0,PR,Diamante do Norte,217.0,8,10339
410712.0,PR,Diamante do Sul,301.0,9,5053
410715.0,PR,Diamante D'Oeste,372.0,8,10061
410720.0,PR,Dois Vizinhos,4248.0,37,76681
410725.0,PR,Douradina,607.0,7,16924
