paciente_endereco_coIbgeMunicipio,paciente_endereco_coIbgeMunicipio
110001,335
110002,1988
110003,59
110004,1262
110005,254
110006,195
110007,63
110008,97
110009,172
110010,221
110011,714
110012,2008
110013,338
110014,258
110015,521
110018,497
110020,4571
110025,308
110026,35
110028,1079
110029,63
110030,1840
110032,205
110033,117
110034,135
110037,142
110040,270
110045,313
110050,127
110060,40
110070,69
110080,90
110090,26
110092,109
110094,131
110100,61
110110,98
110120,48
110130,148
110140,157
110143,58
110145,51
110146,11
110147,74
110148,51
110149,201
110150,100
110155,26
110160,32
110170,104
110175,57
110180,31
120001,98
120005,29
120010,381
120013,5
120017,27
120020,286
120025,69
120030,34
120032,6
120033,17
120034,12
120035,20
120038,65
120039,4
120040,2979
120042,11
120043,7
120045,70
120050,37
120060,24
120070,13
120080,16
130002,8
130006,4
130014,121
130030,61
130040,21
130050,26
130060,24
130063,8
130068,27
130070,30
130080,52
130083,10
130090,15
130100,4
130110,51
130115,11
130120,57
130130,12
130140,31
130150,23
130160,20
130165,6
130170,173
130180,7
130185,73
130190,190
130195,5
130200,19
130210,8
130240,34
130250,105
130255,16
130260,12218
130270,26
130280,7
130290,44
130300,31
130310,45
130320,6
130330,21
130340,137
130350,9
130353,100
130356,95
130370,12
130380,192
130390,19
130395,11
130400,5
130406,132
130410,6
130420,162
130423,5
130426,13
130430,33
130440,9
140002,23
140005,23
140010,6487
140015,37
140017,19
140020,68
140023,25
140028,16
140030,27
140040,1
140045,1847
140047,79
140050,14
140060,16
140070,2
150010,352
150013,11
150020,42
150030,52
150034,20
150040,69
150050,171
150060,657
150070,13
150080,2669
150085,43
150090,106
150095,41
150110,16
150120,40
150125,6
150130,835
150140,8264
150145,20
150150,279
150157,15
150160,18
150170,864
150172,76
150178,106
150180,160
150190,33
150195,37
150200,16
150210,181
150215,189
150220,189
150230,37
150240,840
150250,3
150260,51
150270,109
150275,35
150276,15
150277,26
150280,22
150285,35
150290,45
150293,134
150295,28
150300,5
150304,27
150307,13
150309,42
150310,14
150320,121
150330,37
150340,28
150345,50
150350,59
150360,313
150370,36
150375,9
150380,69
150390,49
150400,4
150405,107
150410,10
150420,674
150430,30
150440,74
150442,497
150445,67
150450,19
150460,39
150470,132
150475,17
150480,188
150490,16
150495,20
150497,17
150500,22
150503,386
150506,54
150510,32
150520,108
150530,78
150540,34
150543,83
150548,53
150549,2
150550,283
150553,684
150555,7
150560,9
150563,8
150565,50
150570,50
150580,281
150590,28
150600,64
150610,31
150611,60
150613,301
150616,47
150618,64
150619,130
150620,143
150630,34
150635,166
150650,237
150655,23
150658,18
150660,45
150670,94
150680,988
150690,31
150700,56
150710,54
150715,28
150720,47
150730,65
150740,41
150745,57
150746,30
150747,52
150750,10
150760,86
150770,24
150775,8
150780,22
150790,24
150795,132
150796,38
150797,25
150800,139
150803,631
150805,84
150808,79
150810,464
150812,72
150815,159
150820,128
150830,150
150835,37
150840,127
160005,31
160010,18
160015,26
160020,28
160021,10
160023,31
160025,5
160027,221
160030,3936
160040,27
160050,35
160053,135
160055,9
160060,665
160070,28
160080,65
170025,10
170030,23
170035,23
170040,5
170070,43
170100,10
170110,10
170130,9
170190,24
170200,7
170210,462
170215,14
170220,45
170230,28
170240,8
170255,47
170270,4
170290,20
170300,21
170305,2
170307,41
170310,33
170320,14
170330,23
170370,6
170380,8
170382,4
170384,19
170386,7
170388,7
170390,11
170550,126
170560,5
170600,9
170610,12
170650,19
170700,55
170710,41
170720,7
170740,7
170755,7
170765,3
170770,26
170820,43
170825,26
170830,21
170900,24
170930,168
170950,272
170980,6
171050,3
171070,4
171110,3
171150,3
171190,38
171195,7
171200,10
171250,10
171270,5
171280,13
171320,105
171330,53
171360,10
171380,24
171395,6
171420,31
171430,5
171488,19
171500,17
171510,7
171525,10
171570,19
171575,11
171610,145
171620,10
171630,8
171650,94
171660,45
171665,3
171670,10
171720,9
171750,9
171790,18
171800,9
171820,268
171830,24
171840,6
171845,15
171870,16
171880,9
171884,4
171886,7
171888,12
171889,3
171890,14
171900,6
172010,5
172020,13
172025,10
172030,6
172049,9
172065,9
172080,22
172085,5
172090,24
172097,8
172100,1928
172120,50
172125,19
172130,11
172208,31
172210,56
210005,343
210010,8
210015,11
210020,15
210030,18
210040,10
210043,6
210047,28
210050,20
210055,15
210060,22
210070,74
210080,79
210083,18
210087,32
210090,28
210095,19
210100,158
210110,7
210120,124
210125,35
210130,6
210135,51
210140,410
210150,59
210160,141
210170,114
210177,14
210180,20
210190,14
210193,23
210197,18
210200,30
210203,28
210207,30
210210,54
210215,10
210220,42
210230,16
210232,145
210235,30
210237,9
210240,9
210250,14
210255,84
210260,95
210270,12
210275,14
210280,41
210290,116
210300,195
210310,4
210315,24
210317,21
210320,181
210325,31
210330,127
210340,253
210350,47
210355,11
210360,91
210370,38
210375,15
210380,30
210390,15
210400,21
210405,68
210407,11
210408,7
210409,17
210410,10
210420,97
210430,34
210440,16
210450,5
210455,16
210460,11
210462,9
210465,13
210467,107
210470,6
210480,85
210490,25
210500,12
210510,4
210515,12
210520,14
210530,740
210535,8
210540,163
210542,38
210545,9
210550,31
210560,36
210570,32
210580,17
210590,7
210592,16
210594,18
210596,11
210598,5
210600,25
210610,4
210620,26
210630,54
210632,51
210635,7
210637,7
210640,54
210650,5
210660,26
210663,17
210667,11
210670,3
210675,19
210680,9
210690,31
210700,8
210710,3
210720,4
210725,10
210730,9
210735,63
210740,16
210745,18
210750,160
210760,34
210770,11
210780,51
210790,16
210800,16
210805,67
210810,31
210820,34
210825,24
210830,20
210840,10
210845,51
210850,38
210860,249
210870,60
210880,16
210890,13
210900,57
210910,126
210920,10
210923,13
210927,219
210930,8
210940,8
210945,35
210950,14
210955,13
210960,73
210970,8
210980,263
210990,156
211000,123
211003,35
211010,31
211020,268
211023,25
211030,21
211040,24
211050,31
211060,128
211065,4
211070,59
211080,8
211085,4
211090,17
211100,8
211105,8
211107,35
211110,36
211120,232
211125,27
211130,2783
211140,18
211150,215
211153,23
211157,8
211160,22
211163,18
211167,12
211170,3
211172,28
211174,5
211176,19
211180,4
211195,8
211200,7
211210,77
211220,156
211223,20
211227,16
211230,87
211240,44
211245,91
211250,80
211260,72
211270,66
211280,18
211285,22
211290,62
211300,96
211400,41
220005,12
220010,5
220020,30
220025,11
220027,66
220030,12
220040,66
220045,9
220050,40
220070,6
220100,10
220105,19
220110,5
220115,25
220120,167
220140,75
220150,141
220157,4
220160,7
220170,5
220177,15
220190,64
220191,9
220192,13
220194,102
220196,54
220198,4
220200,39
220205,40
220207,5
220213,15
220217,20
220220,66
220230,72
220240,18
220253,24
220260,17
220265,6
220270,15
220271,19
220273,21
220275,50
220277,12
220280,5
220285,2
220290,18
220310,4
220320,46
220330,7
220340,14
220342,2
220350,17
220360,7
220370,389
220380,2
220390,94
220400,2
220410,14
220420,68
220430,124
220435,6
220440,7
220450,56
220455,1
220460,10
220465,12
220470,5
220480,12
220490,6
220515,2
220520,12
220525,21
220527,4
220530,2
220540,47
220545,62
220550,40
220552,7
220554,21
220556,9
220557,12
220560,28
220570,33
220580,110
220585,19
220590,16
220595,1
220600,15
220610,36
220620,23
220635,12
220640,22
220650,27
220665,1
220667,38
220669,34
220670,3
220672,1
220675,9
220690,5
220700,63
220710,9
220720,8
220730,8
220750,7
220760,8
220770,200
220775,18
220777,21
220780,28
220790,49
220793,3
220795,8
220800,116
220810,23
220820,59
220830,102
220840,535
220850,36
220855,4
220860,6
220865,15
220870,15
220880,127
220885,3
220890,27
220900,5
220915,18
220920,12
220945,5
220955,14
220960,5
220965,9
220970,2
220980,13
220987,1
220990,5
220995,9
220997,19
221000,38
221005,26
221030,64
221035,30
221039,4
221040,27
221050,22
221060,37
221063,1
221065,3
221070,11
221080,7
221090,3
221093,3
221097,17
221100,1494
221110,24
221120,83
221130,61
221135,3
221140,6
221160,14
230010,20
230015,15
230020,33
230030,40
230040,109
230050,25
230060,6
230070,99
230075,12
230080,142
230090,8
230100,71
230110,51
230120,29
230125,4
230130,97
230140,4
230150,8
230160,78
230170,53
230180,7
230185,35
230190,86
230195,16
230200,43
230205,3
230210,23
230220,102
230230,30
230240,38
230250,155
230260,59
230270,233
230280,66
230290,7
230300,3
230310,4
230320,24
230330,21
230340,12
230350,89
230360,20
230365,6
230370,302
230380,43
230393,5
230395,4
230400,40
230410,146
230420,173
230423,6
230425,24
230426,14
230427,6
230428,86
230430,29
230435,4
230440,6195
230445,35
230450,9
230460,34
230465,4
230470,32
230480,5
230490,4
230495,13
230500,11
230510,2
230520,8
230523,95
230526,12
230530,28
230535,8
230540,283
230550,124
230560,59
230570,24
230580,10
230590,19
230600,27
230610,6
230620,5
230625,44
230630,45
230640,89
230650,9
230655,21
230660,25
230670,17
230680,30
230690,48
230700,11
230710,98
230720,30
230725,24
230730,410
230740,26
230750,68
230760,86
230763,2
230765,355
230770,74
230780,60
230790,3
230800,12
230810,79
230820,8
230830,129
230835,12
230837,7
230840,46
230850,109
230860,24
230870,22
230880,20
230890,21
230900,11
230920,29
230930,19
230940,44
230945,8
230950,25
230960,60
230970,57
230980,8
230990,9
231000,4
231010,6
231020,23
231025,24
231030,96
231040,29
231050,69
231060,22
231070,57
231080,14
231085,19
231090,64
231095,5
231100,15
231110,31
231120,19
231123,13
231126,127
231130,93
231135,41
231140,42
231150,33
231160,28
231180,37
231190,33
231195,174
231200,10
231210,70
231220,28
231230,47
231240,69
231250,25
231260,8
231270,28
231280,6
231290,268
231300,27
231310,53
231320,15
231325,28
231330,671
231335,20
231340,69
231350,12
231355,8
231360,16
231370,8
231375,5
231380,11
231390,14
231395,12
231400,64
231410,41
240010,13
240020,82
240030,7
240050,17
240060,12
240070,41
240090,4
240100,30
240110,23
240120,7
240130,9
240145,19
240160,24
240165,7
240170,12
240180,17
240185,5
240190,2
240200,42
240210,18
240220,71
240230,16
240250,14
240260,73
240270,16
240280,2
240300,2
240310,51
240320,10
240325,890
240330,5
240340,4
240360,64
240370,2
240375,2
240380,5
240400,5
240420,36
240430,10
240440,10
240450,38
240470,21
240485,5
240490,15
240500,22
240510,6
240540,8
240560,5
240570,31
240580,31
240590,10
240600,12
